,Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price,Price_d,used,Reviews_d,price_drop,Mileages_d,group,test,year,Manufacture,model_name
4115,2020 Hyundai Palisade SEL,"55,952 mi.",4.9,(177 reviews),Used,$508 price drop,"$41,499",41499.0,1.0,177.0,508.0,55952.0,1218.0,"['2020', 'Hyundai', 'Palisade', 'SEL']",2020,Hyundai,"['Palisade', 'SEL']"
4116,2018 Ford Edge Titanium,"20,631 mi.",4.4,(110 reviews),Used,"$1,000 price drop","$25,995",25995.0,1.0,110.0,1000.0,20631.0,558.0,"['2018', 'Ford', 'Edge', 'Titanium']",2018,Ford,"['Edge', 'Titanium']"
4117,2019 Chevrolet Colorado WT,"83,615 mi.",4.9,"(1,214 reviews)",Used,$500 price drop,"$19,599",19599.0,1.0,1214.0,500.0,83615.0,776.0,"['2019', 'Chevrolet', 'Colorado', 'WT']",2019,Chevrolet,"['Colorado', 'WT']"
4118,2021 Toyota RAV4 Prime SE,"74,030 mi.",4.8,"(2,387 reviews)",Toyota Certified,"$2,000 price drop","$59,795",59795.0,0.0,2387.0,2000.0,74030.0,1661.0,"['2021', 'Toyota', 'RAV4', 'Prime', 'SE']",2021,Toyota,"['RAV4', 'Prime', 'SE']"
4119,2020 Ford F-150 XLT,"12,549 mi.",4.8,(80 reviews),Used,$495 price drop,"$44,400",44400.0,1.0,80.0,495.0,12549.0,1174.0,"['2020', 'Ford', 'F-150', 'XLT']",2020,Ford,"['F-150', 'XLT']"
4120,2017 Kia Cadenza Premium,"30,353 mi.",4.8,(198 reviews),Used,"$2,000 price drop","$24,777",24777.0,1.0,198.0,2000.0,30353.0,424.0,"['2017', 'Kia', 'Cadenza', 'Premium']",2017,Kia,"['Cadenza', 'Premium']"
4121,2019 Mercedes-Benz GLS 450 4MATIC,"48,212 mi.",4.6,"(1,112 reviews)",Used,$506 price drop,"$54,987",54987.0,1.0,1112.0,506.0,48212.0,978.0,"['2019', 'Mercedes-Benz', 'GLS', '450', '4MATIC']",2019,Mercedes-Benz,"['GLS', '450', '4MATIC']"
4122,2019 Cadillac XT5 Luxury,"33,427 mi.",4.8,"(1,911 reviews)",Cadillac Certified,$500 price drop,"$37,990",37990.0,0.0,1911.0,500.0,33427.0,773.0,"['2019', 'Cadillac', 'XT5', 'Luxury']",2019,Cadillac,"['XT5', 'Luxury']"
4123,2021 Porsche Cayenne Base,"30,222 mi.",4.9,"(1,699 reviews)",Used,"$2,231 price drop","$82,950",82950.0,1.0,1699.0,2231.0,30222.0,1615.0,"['2021', 'Porsche', 'Cayenne', 'Base']",2021,Porsche,"['Cayenne', 'Base']"
4124,2021 Ford Ranger XLT,"12,862 mi.",4.7,(146 reviews),Used,"$1,710 price drop","$38,919",38919.0,1.0,146.0,1710.0,12862.0,1491.0,"['2021', 'Ford', 'Ranger', 'XLT']",2021,Ford,"['Ranger', 'XLT']"
4125,2018 BMW 330 i xDrive,"19,069 mi.",4.7,(272 reviews),Used,"$2,363 price drop","$30,899",30899.0,1.0,272.0,2363.0,19069.0,517.0,"['2018', 'BMW', '330', 'i', 'xDrive']",2018,BMW,"['330', 'i', 'xDrive']"
4126,2020 Toyota Highlander Platinum,"39,759 mi.",4.8,"(1,112 reviews)",Used,$500 price drop,"$46,793",46793.0,1.0,1112.0,500.0,39759.0,1367.0,"['2020', 'Toyota', 'Highlander', 'Platinum']",2020,Toyota,"['Highlander', 'Platinum']"
4127,2019 INFINITI QX60 Luxe,"25,246 mi.",4.4,(128 reviews),Used,$500 price drop,"$31,500",31500.0,1.0,128.0,500.0,25246.0,874.0,"['2019', 'INFINITI', 'QX60', 'Luxe']",2019,INFINITI,"['QX60', 'Luxe']"
4128,2019 INFINITI QX80 Luxe,"61,859 mi.",4.6,(333 reviews),Used,$458 price drop,"$46,945",46945.0,1.0,333.0,458.0,61859.0,876.0,"['2019', 'INFINITI', 'QX80', 'Luxe']",2019,INFINITI,"['QX80', 'Luxe']"
4129,2020 Land Rover Range Rover Evoque S,"47,152 mi.",3.9,(8 reviews),Used,$480 price drop,"$46,000",46000.0,1.0,8.0,480.0,47152.0,1263.0,"['2020', 'Land', 'Rover', 'Range', 'Rover', 'Evoque', 'S']",2020,Land,"['Rover', 'Range', 'Rover', 'Evoque', 'S']"
4130,2020 Honda Accord LX 1.5T,"19,611 mi.",4.5,"(2,421 reviews)",Honda Certified,"$1,028 price drop","$29,327",29327.0,0.0,2421.0,1028.0,19611.0,1198.0,"['2020', 'Honda', 'Accord', 'LX', '1.5T']",2020,Honda,"['Accord', 'LX', '1.5T']"
4131,2020 Volkswagen Passat 2.0T SE,"19,760 mi.",4.4,(193 reviews),Used,"$1,384 price drop","$22,295",22295.0,1.0,193.0,1384.0,19760.0,1388.0,"['2020', 'Volkswagen', 'Passat', '2.0T', 'SE']",2020,Volkswagen,"['Passat', '2.0T', 'SE']"
4132,2013 Nissan Murano SL,"49,420 mi.",4.9,"(2,658 reviews)",Used,$407 price drop,"$11,500",11500.0,1.0,2658.0,407.0,49420.0,115.0,"['2013', 'Nissan', 'Murano', 'SL']",2013,Nissan,"['Murano', 'SL']"
4133,2019 Volvo S60 T6 Inscription,"142,382 mi.",4.5,(123 reviews),Volvo Certified,"$1,018 price drop","$37,781",37781.0,0.0,123.0,1018.0,142382.0,1059.0,"['2019', 'Volvo', 'S60', 'T6', 'Inscription']",2019,Volvo,"['S60', 'T6', 'Inscription']"
4134,2021 Toyota Camry SE,"27,995 mi.",4.8,"(4,552 reviews)",Used,$300 price drop,"$26,000",26000.0,1.0,4552.0,300.0,27995.0,1644.0,"['2021', 'Toyota', 'Camry', 'SE']",2021,Toyota,"['Camry', 'SE']"
4135,2021 Audi e-tron Premium Plus,"43,262 mi.",4.7,"(1,637 reviews)",Used,"$1,000 price drop","$68,490",68490.0,1.0,1637.0,1000.0,43262.0,1426.0,"['2021', 'Audi', 'e-tron', 'Premium', 'Plus']",2021,Audi,"['e-tron', 'Premium', 'Plus']"
4136,2021 Toyota Corolla SE,"20,770 mi.",4.9,"(1,372 reviews)",Toyota Certified,"$1,004 price drop","$26,104",26104.0,0.0,1372.0,1004.0,20770.0,1648.0,"['2021', 'Toyota', 'Corolla', 'SE']",2021,Toyota,"['Corolla', 'SE']"
4137,2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,"30,016 mi.",4.6,"(1,629 reviews)",Used,"$1,000 price drop","$41,270",41270.0,1.0,1629.0,1000.0,30016.0,703.0,"['2019', 'Acura', 'MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']",2019,Acura,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']"
4138,2020 Lincoln Aviator Reserve AWD,"53,250 mi.",4.8,"(1,709 reviews)",Used,"$1,208 price drop","$59,977",59977.0,1.0,1709.0,1208.0,53250.0,1284.0,"['2020', 'Lincoln', 'Aviator', 'Reserve', 'AWD']",2020,Lincoln,"['Aviator', 'Reserve', 'AWD']"
4139,2007 Chevrolet Corvette Base,"25,806 mi.",4.3,"(1,571 reviews)",Used,"$1,000 price drop","$30,998",30998.0,1.0,1571.0,1000.0,25806.0,14.0,"['2007', 'Chevrolet', 'Corvette', 'Base']",2007,Chevrolet,"['Corvette', 'Base']"
